ablation_variant,ci95_high_cadence_score,ci95_high_compression_score,ci95_high_cpr,ci95_high_duration_error_sec,ci95_high_duration_match_ratio,ci95_high_interval_score,ci95_high_longest_repeat_run,ci95_high_objective_score,ci95_high_pitch_diversity_score,ci95_high_psr,ci95_high_qualified_note_rate,ci95_high_qualified_rhythm_rate,ci95_high_repetition_score,ci95_high_rhythm_score,ci95_high_strong_beat_stable_rate,ci95_high_tonality_score,ci95_low_cadence_score,ci95_low_compression_score,ci95_low_cpr,ci95_low_duration_error_sec,ci95_low_duration_match_ratio,ci95_low_interval_score,ci95_low_longest_repeat_run,ci95_low_objective_score,ci95_low_pitch_diversity_score,ci95_low_psr,ci95_low_qualified_note_rate,ci95_low_qualified_rhythm_rate,ci95_low_repetition_score,ci95_low_rhythm_score,ci95_low_strong_beat_stable_rate,ci95_low_tonality_score,mean_cadence_score,mean_compression_score,mean_cpr,mean_duration_error_sec,mean_duration_match_ratio,mean_interval_score,mean_longest_repeat_run,mean_objective_score,mean_pitch_diversity_score,mean_psr,mean_qualified_note_rate,mean_qualified_rhythm_rate,mean_repetition_score,mean_rhythm_score,mean_strong_beat_stable_rate,mean_tonality_score,preset,rank,sample_count,variant_short
A3_duration_matching,0.395880,0.708323,0.056904,0.960747,0.829696,0.650589,1.351303,0.642158,0.500775,0.551763,0.866957,0.681760,0.907854,0.741069,0.393262,0.442505,0.356587,0.683542,0.046793,0.888566,0.815695,0.625096,1.303364,0.632242,0.468467,0.523266,0.844137,0.650053,0.889552,0.727524,0.350973,0.414738,0.376233,0.695932,0.051848,0.924657,0.822696,0.637842,1.327333,0.637200,0.484621,0.537514,0.855547,0.665906,0.898703,0.734297,0.372117,0.428622,pentatonic_creative,21,1500,A3
A4_fallback,0.395880,0.708323,0.056904,0.960747,0.829696,0.650589,1.351303,0.642158,0.500775,0.551763,0.866957,0.681760,0.907854,0.741069,0.393262,0.442505,0.356587,0.683542,0.046793,0.888566,0.815695,0.625096,1.303364,0.632242,0.468467,0.523266,0.844137,0.650053,0.889552,0.727524,0.350973,0.414738,0.376233,0.695932,0.051848,0.924657,0.822696,0.637842,1.327333,0.637200,0.484621,0.537514,0.855547,0.665906,0.898703,0.734297,0.372117,0.428622,pentatonic_creative,22,1500,A4
A3_duration_matching,0.403701,0.714464,0.055310,0.985633,0.829050,0.589952,1.359305,0.626452,0.475093,0.539868,0.877761,0.650877,0.908553,0.734176,0.387110,0.438974,0.363565,0.689833,0.046067,0.909921,0.815115,0.565052,1.311362,0.616506,0.442377,0.511743,0.857508,0.620877,0.891092,0.721596,0.345158,0.411407,0.383633,0.702148,0.050689,0.947777,0.822082,0.577502,1.335333,0.621479,0.458735,0.525805,0.867634,0.635877,0.899822,0.727886,0.366134,0.425191,pentatonic_creative_wide,23,1500,A3
A4_fallback,0.403701,0.714464,0.055310,0.985633,0.829050,0.589952,1.359305,0.626452,0.475093,0.539868,0.877761,0.650877,0.908553,0.734176,0.387110,0.438974,0.363565,0.689833,0.046067,0.909921,0.815115,0.565052,1.311362,0.616506,0.442377,0.511743,0.857508,0.620877,0.891092,0.721596,0.345158,0.411407,0.383633,0.702148,0.050689,0.947777,0.822082,0.577502,1.335333,0.621479,0.458735,0.525805,0.867634,0.635877,0.899822,0.727886,0.366134,0.425191,pentatonic_creative_wide,24,1500,A4
A2_repetition_suppression,0.399233,0.520250,0.035595,0.905219,0.852060,0.706564,1.342006,0.625548,0.431139,0.550078,0.845424,0.676554,0.940584,0.728604,0.375450,0.437481,0.360500,0.494131,0.029351,0.829517,0.839851,0.680909,1.293994,0.614790,0.397074,0.522410,0.819646,0.643211,0.927924,0.709091,0.338303,0.411177,0.379867,0.507190,0.032473,0.867368,0.845956,0.693737,1.318000,0.620169,0.414106,0.536244,0.832535,0.659883,0.934254,0.718848,0.356877,0.424329,pentatonic_balanced,25,1500,A2
A2_repetition_suppression,0.390257,0.481708,0.033514,0.914264,0.846601,0.722591,1.312585,0.623865,0.420292,0.552511,0.834976,0.677897,0.945188,0.731636,0.377648,0.436219,0.351543,0.455181,0.027169,0.843289,0.832974,0.695253,1.266082,0.612921,0.386175,0.525112,0.806136,0.641718,0.932379,0.710634,0.340869,0.409761,0.370900,0.468444,0.030342,0.878777,0.839787,0.708922,1.289333,0.618393,0.403233,0.538811,0.820556,0.659808,0.938783,0.721135,0.359259,0.422990,pentatonic_low_temp_no_strongbeat,26,1500,A2
A2_repetition_suppression,0.411049,0.464306,0.032249,0.887266,0.849889,0.718498,1.309074,0.622760,0.418234,0.561481,0.832912,0.682666,0.946717,0.732266,0.363285,0.441431,0.371751,0.438635,0.026127,0.823633,0.837147,0.691363,1.261593,0.611630,0.384135,0.534448,0.804073,0.647216,0.934130,0.711120,0.326757,0.414826,0.391400,0.451470,0.029188,0.855449,0.843518,0.704931,1.285333,0.617195,0.401184,0.547965,0.818493,0.664941,0.940424,0.721693,0.345021,0.428129,pentatonic_conservative,27,1500,A2
A2_repetition_suppression,0.395928,0.540559,0.041579,0.960268,0.847655,0.676205,1.395117,0.616310,0.416738,0.549955,0.836285,0.664022,0.929586,0.718682,0.376764,0.436845,0.356206,0.514511,0.035207,0.873582,0.835457,0.650878,1.346216,0.605345,0.382191,0.523094,0.811339,0.631781,0.916842,0.699558,0.339154,0.410189,0.376067,0.527535,0.038393,0.916925,0.841556,0.663542,1.370667,0.610828,0.399464,0.536525,0.823812,0.647901,0.923214,0.709120,0.357959,0.423517,pentatonic_no_theory,28,1500,A2
A2_repetition_suppression,0.399394,0.586559,0.046010,1.068253,0.842080,0.642934,1.441561,0.609003,0.394738,0.553935,0.837334,0.649670,0.920312,0.710263,0.372097,0.437792,0.360072,0.561709,0.039446,0.955866,0.830113,0.619511,1.390439,0.598663,0.361388,0.526359,0.814171,0.619143,0.906910,0.692829,0.334968,0.411150,0.379733,0.574134,0.042728,1.012059,0.836096,0.631223,1.416000,0.603833,0.378063,0.540147,0.825752,0.634406,0.913611,0.701546,0.353533,0.424471,pentatonic_creative,29,1500,A2
A2_repetition_suppression,0.430068,0.628821,0.047392,1.480975,0.811062,0.572647,1.466070,0.598646,0.380260,0.545996,0.859042,0.623920,0.917651,0.699609,0.383711,0.448873,0.389866,0.606362,0.040957,1.313814,0.797181,0.550335,1.415263,0.588967,0.346746,0.519179,0.840008,0.595844,0.904585,0.684773,0.345857,0.422686,0.409967,0.617591,0.044174,1.397395,0.804121,0.561491,1.440667,0.593807,0.363503,0.532588,0.849525,0.609882,0.911118,0.692191,0.364784,0.435780,pentatonic_creative_wide,30,1500,A2
